orig_index,Nom de l'objet,Programme,Adresse 1,Adresse 2,Adresse 3,Numéro postal,Localité,Canton - Département,Pays,Date de début de l'objet,Date de fin de l'objet,Concours ouvert à,Notes de l'objet,Auteurs,Rôle de l'auteur,Dossiers reliés,Pièces reliées,CombinedArtists,is_jury,paired_competitons,comp_id
51,Concours de projet pour la reconstitution du Pont du Mont-Blanc à Genève,,,,,,Genève,,Suisse,1901-01-01,1901-01-01,,"Ce concours qui ne met pas en jeu à proprement parler un projet d'architecture présente pourtant un intérêt certain car il se situe dans le cadre de la problématique des choix techniques dans la construction de ponts et voit aux prises comme à Chauderon les tenant du fer et les tenant des deux systèmes de BA, Melan et Hennebique, par l'intermédiaire de leurs agents locaux","Vautier, Alphonse;Ritter, W;Schüle, François",Juré;Juré;Juré,,,"[array(['Vautier, Alphonse'], dtype=object)
 array(['Ritter, W'], dtype=object)
 array(['Schüle, François'], dtype=object)]",False,[54],51
52,"Concours pour la construction du viaduc de Fenil, à Saint-Légier",,,,,,Saint-Légier,,Suisse,1901-01-01,,,"Concours restreint parmi les constructeurs de ponts métalliques en Suisse, Zschokke est l'auteur de "" l'offre la plus avantageuse"". Travaux de maçonnerie confiés à Vago & Champion. Travaux commencés en septembre 1892.  Article de V. Ryncki, directeur des Chemins de fer électriques veveysans, BTSR 1907 p.161,173","Zschokke, Conradin",Concurrent probable,,,"[array(['Zschokke, Conradin'], dtype=object)]",False,[],52
53,Concours de façades,,,,,,Genève,,Suisse,1902-01-01,1902-01-01,,"BTSR 1902, p.80. Concours organisé par la Société des Intérêts de Genève, présidée par M. Roux. Le concours portait sur des bâtiments construits dans l'agglomération urbaine genevoise de de 189 à 1901, à l'exclusion des édifices publics et des villas. 73 constructions présentées, 4 écartées comme ayant le caractère de villas (""objet d'un prochain concours""), 49 façades examinées après regroupement des façades identiques ou adjacentes. ","Fatio, Guillaume;Bourdillon, André Marcel",Juré;Juré,,,"[array(['Fatio, Guillaume'], dtype=object)
 array(['Bourdillon, André Marcel'], dtype=object)]",False,[1121],53
54,"Concours de projet pour la reconstitution du Pont du Mont-Blanc à Genève, jugement",,,,,,Genève,,Suisse,1902-01-01,,,"Résumé du rapport des experts (l'ing. Alph. Vautier et les prof. Ritter et Schüle) dans BTSR 1902 p.99. Les experts concluaient ""à l'impossibilité d'exécuter n'importe lequel des projets...et à la nécessité de demander aux auteurs...un remaniement complet de ces derniers sur des bases nettement déterminées""(BTSR 1902, p.294, signé E. Imer-Schneider). Dans un deuxième temps, la Commission du Conseil reçoit le 24 avril 1902 les nouveaux projets Autran, Poujolat, Cuénod, Riondel, tous avec devis ainsi que ceux de deux nouveaux protagonistes, Blanc et Maillart & Cie (?), tous les deux sans devis.Le projet Autran (avec Ch. Schmiedt et Streit-Baron comme entrepreneurs généraux), comprenant poutres continues métalliques et tablier en BA est recommandé par les experts puis par la Commission à l'unanimité ""malgré la sympathie très prononcée que rencontrait une solution en béton armé"" chez plusieurs membres. Le Conseil municipal adopte le 17.10.1902 une convention passée avec l'ing. Autran où celui-ci se charge de l'ensemble des travaux à titre d'entrepreneur général sur la base d'un  prix forfaitaire de 740'000.-. Il s'est préalablement assuré la collaboration de Wartmann & Valette de Brugg pour une moitié de la struct. métallique et l'ensemble du montage, de Ch. Schmiedt pour l'autre moitié,  de Streit-Baron, entrepreneur, pour les dalles en BA . Ce dernier convient de les sous-traiter à Ed. Cuénod. ","Autran, Georges;Maillart & Cie;Blanc;Schmiedt, Charles-Henri;Cuénod, Edouard;Poujoulat, Pierre;Riondel","Juré, suppléant;Concurrent;;;;;",,,"[array(['Autran, Georges'], dtype=object)
 array(['Maillart & Cie'], dtype=object) array(['Blanc'], dtype=object)
 array(['Schmiedt, Charles-Henri'], dtype=object)
 array(['Cuénod, Edouard'], dtype=object)
 array(['Poujoulat, Pierre'], dtype=object)
 array(['Riondel'], dtype=object)]",True,[51],54
55,Concours pour le nouveau collège de la Tour-de-Peilz,,,,,,La Tour-de-Peilz,,Vaud,1902-01-01,1902-05-31,,"Dans le jury, Chaudet assiste le municipalité comme conseil","Falconnier, Gustave;Maillard, Louis;Chaudet, Victor;Jost, Eugène;Nicod, H","Concurrent;Juré;Juré, absent;3e prix ex aequo;Juré, président",,,"[array(['Falconnier, Gustave'], dtype=object)
 array(['Maillard, Louis'], dtype=object)
 array(['Chaudet, Victor'], dtype=object)
 array(['Jost, Eugène'], dtype=object) array(['Nicod, H'], dtype=object)]",False,[56],55
56,"Concours pour le nouveau collège de la Tour-de-Peilz, jugement",,,,,,La Tour-de-Peilz,,Vaud,1902-01-01,1902-01-01,,"1er prix 1'000.-: ""Ecolier dessiné"", Meyer & Convers; 2e prix 700.-: ""Au Soleil"",Meyer & Convers; 3e prix 500.-: ""Labor"", H. Baudin; deux mentions honorables projets ""AAA"" et ""Con amore"". Rapport du jury BTSR 1902, p.183.","Meyer, Henri +;Convert, Robert +;Baudin, Henry",Prix ex aequo;Prix ex aequo;Juré,,,"[array(['Meyer, Henri', 'Convert, Robert', 'Baudin, Henry'], dtype=object)]",True,[55],56
57,"Concours pour un bâtiment d'archives, à Neuchâtel",,,,,,Neuchâtel,,Suisse,1902-01-01,1902-10-15,,,"Vischer, Eduard;Perrier, Louis;Châtelain, Léo;Naef, Albert;Piaget, Louis",Juré;Juré;Juré;Juré;Juré,,,"[array(['Vischer, Eduard'], dtype=object)
 array(['Perrier, Louis'], dtype=object)
 array(['Châtelain, Léo'], dtype=object)
 array(['Naef, Albert'], dtype=object)
 array(['Piaget, Louis'], dtype=object)]",False,[],57
58,"Concours pour un bâtiment d'archives, à Neuchâtel",,,,,,Neuchâtel,,Suisse,1902-01-01,1902-10-15,,,,,,,,False,[],58
59,"Concours pour un kiosque à musique à élever sur l'Esplanade de Montbenon, à Lausanne, jugement",,,,,,Lausanne,,Vaud,1902-01-01,,,"BTSR 1902, p.281. 10 projets présentés, trois projets en présence après deux tours éliminatoires, dans l'ordre, sans prix, le premier mentionné remportant l'exécution du travail: ""Flûte"" de Verrey et Heydel, ""Clé de sol""(dessin) de Bonjour & Oulevey, ""10000"" de J. Regamey. ","Verrey, Henri &;Bonjour, Charles-François +;Regamey, Jaques;Heydel, Alfred &;Oulevey, Oscar +",;;;;,,,"[array(['Verrey, Henri', 'Bonjour, Charles-François', 'Regamey, Jaques'],
       dtype=object)
 array(['Heydel, Alfred, Oulevey, Oscar'], dtype=object)]",True,[2140],59
60,"Concours pour un plan de rectification, d'embellissement et d'assainissement de la ville de Genève, jugement",,,,,,Genève,,Suisse,1902-01-01,,,"BTSR 1902, p. 96 et 170.  Le concours est divisé en deux parties, rive gauche et rive droite. La liste ci-dessus fait apparaître d'abord les auteurs des projets primés pour la rive gauche, puis ceux primés pour la rive droite. Neuf projets reçus. ""Le travail fait par les concurrents va être utilisé par le bureau des Travaux de la Ville de Genève pour l'établissement d'un plan-type dans leqel seront concentrées toutes les propositions approuvées par le jury.""","Garcin, Henri +;Juvet, Henri-Ed.-L +;Chabloz, Alfred;Marschall, Joseph;Tedeschi, Jacques;Ody, Firmin","2e prix;2e prix;3e prix;1er  prix;1er prix ex aequo, 2e prix ex aequo;1er prix ex aequo, 2e prix ex aequo",,,"[array(['Garcin, Henri', 'Juvet, Henri-Ed.-L', 'Chabloz, Alfred'],
       dtype=object)
 array(['Marschall, Joseph'], dtype=object)
 array(['Tedeschi, Jacques'], dtype=object)
 array(['Ody, Firmin'], dtype=object)]",True,[1071],60
61,"Concours pour la construction d'un pont sur l'Arve, à Genève",,"Acacias, av. des",,,,Genève,,Genève,1903-01-01,1903-11-30,Constructeurs s. &do,Ouvert par le Département des Travaux publics du canton de Genève. Ouvert aux constructeurs suisses et domiciliés en Suisse.,"Schüle, François;Juvet, Henri-Ed.-L;Dommer, Auguste;Charbonnier, Emile",Juré;Juré;Juré;Organisateur du conc,,,"[array(['Schüle, François'], dtype=object)
 array(['Juvet, Henri-Ed.-L'], dtype=object)
 array(['Dommer, Auguste'], dtype=object)
 array(['Charbonnier, Emile'], dtype=object)]",False,[1317],61
62,"Concours pour le Kiosque des Tramways sur la place St.François, à Lausanne","Transport, communication, génie civil",Place St.François,,,,Lausanne,,Vaud,1903-01-01,1903-01-01,Autre,La Municipalité décide d'étudier la création d'un édicule plus spacieux pouvant accueillir des WC en sous-sol et ouvre un concours entre les architectes lausannois. BTSR 1903 p.60,"Isoz, Francis;Barraud, Ernest;Bezencenet, Louis",Juré;Juré;Juré,,,"[array(['Isoz, Francis'], dtype=object)
 array(['Barraud, Ernest'], dtype=object)
 array(['Bezencenet, Louis'], dtype=object)]",False,[63 64],62
63,"Concours pour le Kiosque des Tramways sur la place St.François, à Lausanne, jugement",,"St.François, place",,,,Lausanne,,Vaud,1903-01-01,1903-01-01,,"BTSR 1903, p.60","Verrey, Henri &;Heydel, Alfred &;Regamey, Jaques;Monod, Eugène &;Laverrière, Alphonse &",;;;Architecte;Architecte,,,"[array(['Verrey, Henri', 'Heydel, Alfred', 'Regamey, Jaques'], dtype=object)
 array(['Monod, Eugène, Laverrière, Alphonse'], dtype=object)]",True,[62],63
64,"Concours pour le Kiosque des Tramways sur la place St.François, à Lausanne, jugement","Transport, communication, génie civil","St.François, place",,,,Lausanne,,Vaud,1903-01-01,1903-01-01,Autre,"BTSR 1903, p.60-61, publication u premier prix et de la première mention.","Laverrière, Alphonse &;Regamey, Jaques;Monod, Eugène &;Verrey, Henri &;Heydel, Alfred &",Architecte;1er  prix;Architecte;1er  prix;,,,"[array(['Laverrière, Alphonse', 'Regamey, Jaques'], dtype=object)
 array(['Monod, Eugène, Verrey, Henri, Heydel, Alfred'], dtype=object)]",True,[62],64
65,"Concours pour le Kiosque des Tramways, sur la Place St-François, à Lausanne, projet AL.","Transport, communication, génie civil","St-François, pl",,,,Lausanne,,Vaud,1903-01-01,,Autre,"Les architectes Monod & Laverrière reçoivent une mention pour leur projet ""Sic"". BTSR 1903 p.60. Publié in: Moderne Bauformen","Monod, Eugène &;Laverrière, Alphonse &",Architecte;Architecte,,,"[array(['Monod, Eugène, Laverrière, Alphonse'], dtype=object)]",False,[],65
66,"Concours pour le Musée des Beaux-Arts de Zürich, jugement",,,,,,Zürich,,Zurich,1903-01-01,1903-05-01,,"57 projets reçus, 9 retenus au dernier tour éliminatoire. 1e prix: 2'500.-   Deux 2e prix: 2'000.-  Deux 3e prix: 1'000.-  6 mentions honorables dont le projet ""7""(auteur inconnu). Dans le BTSR 1903, p.200, publication des plans de Brémond à titre comparatif, réflexion critique sur l'ouverture ""au goût et aux conceptions architecturales étrangères"". ","Paulsen, Friedrich;Kunkler, Julius;Fritschi, J.-E;Heman, Erwin;Haller, J;Ulrich, Paul;Lüthy, Hermann;Kaiser, Sepp.;Hess, Edouard;Rütschi, Rudolf;Brémond, Aloys","2e prix;Juré;2e prix ex aequo;2e prix ex aequo;1er  prix;Juré, président;2e prix;Mention honorable;Achat;Mention honorable;Juré, secrétaire",,,"[array(['Paulsen, Friedrich'], dtype=object)
 array(['Kunkler, Julius'], dtype=object)
 array(['Fritschi, J.-E'], dtype=object)
 array(['Heman, Erwin'], dtype=object) array(['Haller, J'], dtype=object)
 array(['Ulrich, Paul'], dtype=object)
 array(['Lüthy, Hermann'], dtype=object)
 array(['Kaiser, Sepp.'], dtype=object)
 array(['Hess, Edouard'], dtype=object)
 array(['Rütschi, Rudolf'], dtype=object)
 array(['Brémond, Aloys'], dtype=object)]",True,[2291 2292],66
67,Concours pour le monument Philibert Berthelier,,,,,,Genève,,Suisse,1903-01-01,1903-01-01,,Baud-Bovy est secrétaire et auteur du rapport (non publié dans le BTSR).,"Lugeon, Raphaël;Bouvier, Paul;Jeanneret, G;Dunki, Louis;Lachenal, A;Baud-Bovy","Juré;2e prix ex aequo;Juré;Juré;Juré, président;Juré, secrétaire",,,"[array(['Lugeon, Raphaël'], dtype=object)
 array(['Bouvier, Paul'], dtype=object)
 array(['Jeanneret, G'], dtype=object)
 array(['Dunki, Louis'], dtype=object)
 array(['Lachenal, A'], dtype=object) array(['Baud-Bovy'], dtype=object)]",False,[1181],67
68,"Concours pour la Banque populaire tessinoise, à Bellinzone, jugement",,,,,,Bellinzona,,Suisse,1904-01-01,,,"1er prix 1'000.-, deux 2e prix 500.-","Huber, Arnold;Brugger, Ch;Fritschi, J.-E",1er  prix;2e prix ex aequo;2e prix ex aequo,,,"[array(['Huber, Arnold'], dtype=object)
 array(['Brugger, Ch'], dtype=object)
 array(['Fritschi, J.-E'], dtype=object)]",True,[1832],68
69,"Concours pour la construction de maisons ouvrières à Genève, jugement",,"Grottes, rue des",,,,Genève,,Genève,1904-01-01,,,Aucun premier prix décerné (pas de projet recommandable pour l'exécution; les projets comportent des bâtiments contigus et alignés sur rue; le principe de bâtiments plus petits en ordre dispersé est évoqué par le BTSR). Le Conseil administratif a décidé de ne pas rendre public le rapport du jury.,"Barde, Charles;Fulpius, Léon &;Fulpius, Frantz &;Bizot, Charles;Morsier de frères, F. & H. &;Weibel, Charles &",2e prix;2e prix ex aequo;2e prix ex aequo;3e prix ex aequo;3e prix ex aequo;3e prix ex aequo,,,"[array(['Barde, Charles'], dtype=object)
 array(['Fulpius, Léon', 'Fulpius, Frantz', 'Bizot, Charles'], dtype=object)
 array(['Morsier de frères, F. & H., Weibel, Charles'], dtype=object)]",True,[1880],69
70,"Concours pour le monument Philibert Berthelier, seconde épreuve, jugement",,,,,,Genève,,Suisse,1904-01-01,1904-12-31,,"Le rendu de la seconde épreuve est indiqué par le BTSR 10.2.1904 ""dans un délai de six mois"". Rapport du jury BTSR 1905, p.63.  Apparition de Mlle. C. Roch qui se cachait sous le pseudonyme Pierre Geoffroy. A. Regazzoni sera chargé de l'exécution, prime de 2'500.- à Vibert et de 2'000.- à Roch et Leclerc.","Vibert, James;Roch, C +;Geoffroy, Pierre +;Leclerc, Antoine +;Regazzoni, Ampellio",Juré;Primé;Primé;5e prix;Classé 1er,,,"[array(['Vibert, James'], dtype=object)
 array(['Roch, C', 'Geoffroy, Pierre', 'Leclerc, Antoine',
        'Regazzoni, Ampellio'], dtype=object)             ]",True,[],70
71,"Concours pour un bâtiment d'école à Herisau, jugement",,,,,,Herisau,,Suisse,1904-01-01,1904-08-25,,150 projets reçus. Montant total des prix 3'000.-  1er prix: 1'000.-; 2e prix: 800.-; Deux 3e prix: 600.- Date de publication du BTSR,"Pfister, Werner &;Pfister, Otto &;Kehrer, J;Prince, Ernest &;Béguin, Jean &;Schneider, Gottfried;Metzger, Johannes",2e prix;1er rang;1er  prix;2e prix ex aequo;2e prix ex aequo;3e prix ex aequo;2e prix,,,"[array(['Pfister, Werner', 'Pfister, Otto', 'Kehrer, J'], dtype=object)
 array(['Prince, Ernest', 'Béguin, Jean', 'Schneider, Gottfried'],
       dtype=object)
 array(['Metzger, Johannes'], dtype=object)]",True,[],71
72,"Concours pour un élévateur de bateaux sur le canal du Danube à l'Oder, à Aujzed, près Perau, en Moravie, jugement",,,,,,Prerau,,,1904-01-01,1904-10-29,,"230 projets présentés. Un seul1er prix: 100'000 couronnes. Un seul 2e prix: 75'000 couronnes. Le 3e prix de 50'000 couronnes n'a pas été distribué. Pour les huit mentions honorables, dont deux françaises, voir BTSR 1904, p.404","Umlauf, A +;Ritter von Doderer, Wilhelm +;Augsburg, Vereinigte Maschinen;Andritz, Maschinenfabrik, AG;Nürnberg, Maschinenbau Gesell.;Siemens, Oesterr. Schuckertwer;Ritter von Stockert, Ludwig +;Ringhoffer, Fabriken;Ruston & C°, Maschinenbau AG;Breitfeld, Dank & C° Maschinen;Erste böhm.-mähr. Maschinenfabr;Skodawerke, AG","2e prix;2e prix;2e prix;2e prix;2e prix;2e prix, 1er  prix;2e prix;1er  prix;1er  prix;1er  prix;1er  prix;1er  prix",,,"[array(['Umlauf, A', 'Ritter von Doderer, Wilhelm',
        'Augsburg, Vereinigte Maschinen'], dtype=object)
 array(['Andritz, Maschinenfabrik, AG'], dtype=object)
 array(['Nürnberg, Maschinenbau Gesell.'], dtype=object)
 array(['Siemens, Oesterr. Schuckertwer'], dtype=object)
 array(['Ritter von Stockert, Ludwig', 'Ringhoffer, Fabriken'],
       dtype=object)
 array(['Ruston & C°, Maschinenbau AG'], dtype=object)
 array(['Breitfeld, Dank & C° Maschinen'], dtype=object)
 array(['Erste böhm.-mähr. Maschinenfabr'], dtype=object)
 array(['Skodawerke, AG'], dtype=object)]",True,[1628],72
73,"Concours pour une école, à Malleray",Enseignement et recherche,,,,,Malleray,,,1904-01-01,,,,,,0148.04.0062,,,False,[],73
74,"Concours pour des Maisons ouvrières, à Lausanne",Habitation plurifamiliale,,,,,Lausanne,,Suisse,1905-01-01,1906-03-10,,"""Sur le terrain de la Borde"". Ouvert par la Société ""La Maison ouvrière"" dont André Schnetzler est président (les quatre autres jurés étant membres du conseil d'administration)","Epitaux, Georges;van Muyden, Théophile;Schnetzler, André;Meyer, Henri;Heydel, Alfred","Juré;Juré;Juré;Juré, président;1er  prix",,,"[array(['Epitaux, Georges'], dtype=object)
 array(['van Muyden, Théophile'], dtype=object)
 array(['Schnetzler, André'], dtype=object)
 array(['Meyer, Henri'], dtype=object)
 array(['Heydel, Alfred'], dtype=object)]",False,[79 80],74
75,"Concours pour des Maisons ouvrières, à Lausanne",,,,,,Lausanne,,Suisse,1905-01-01,1906-03-10,,"""Sur le terrain de la Borde"". Ouvert par la Société ""La Maison ouvrière"" dont André Schnetzler est président (les quatre autres jurés étant membres du conseil d'administration)","van Muyden, Théophile;Heydel, Alfred;Meyer, Henri;Schnetzler, André;Epitaux, Georges","Juré;1er  prix;Juré, président;Juré, président;Juré",,,"[array(['van Muyden, Théophile'], dtype=object)
 array(['Heydel, Alfred'], dtype=object)
 array(['Meyer, Henri'], dtype=object)
 array(['Schnetzler, André'], dtype=object)
 array(['Epitaux, Georges'], dtype=object)]",False,[79 80],75
